Division,GN Division
 Ja-Ela,181F Ketagewatta
 Ja-Ela,181G Dambuwa
 Ja-Ela,181C Rampitiya
 Gampaha,218 Makevita North
 Gampaha,218A Makevita South
 Gampaha,217 Mabima
 Gampaha,219A Gonagaha2
 Gampaha,217A Welikada
 Gampaha,219 Gonagaha1
 Gampaha,220A Ambanvita
 Gampaha,220 Kirindivita
 Gampaha,222B Akaravita
 Gampaha,222 Pahalagama
 Gampaha,223A Medagama 2
 Gampaha,224 Ihalagama West
 Gampaha,224A Ihalagama East
 Gampaha,225A Gampaha Aluthgama North
 Gampaha,226A Karanayakamulla
 Gampaha,226 Baduwathugoda
 Gampaha,228 Boraliyawatha
 Gampaha,228A Thittalapitigoda
 Gampaha,229 Aluthgama Bogamuwa North
 Gampaha,229A Aluthgama Bogamuwa South
 Gampaha,230 Mahipalagoda
 Gampaha,230A Morenna
 Gampaha,230B Weediyawatta
 Gampaha,227 Keselwathugoda North
 Gampaha,225C Indigolla
 Gampaha,225 Gampaha Aluthgama West
 Gampaha,234 Bendiyamulla North
 Gampaha,223C Medagama 4
 Gampaha,223B Medagama 3
 Gampaha,223 Medagama 1
 Gampaha,235A Oruthota South
 Gampaha,222A Kosovita
 Gampaha,221A Rathmalavita
 Gampaha,221 Makilangamuwa
 Gampaha,216 Horagolla North
 Gampaha,216B Thibbotugoda
 Gampaha,208 Midellavita
 Gampaha,209A Kudabollatha
 Gampaha,209 Bollatha North
 Gampaha,209D Wewel Agara
 Gampaha,209C Bollatha West
 Gampaha,209B Bollatha South
 Gampaha,210A Bulugahagoda West
 Gampaha,210 Bulugahagoda East
 Gampaha,215 Galahitiyawa North
 Gampaha,216A Horagolla South
 Gampaha,236C Neduna
 Gampaha,236 Pahalayagoda
 Gampaha,235 Oruthota North
 Gampaha,233 Moragoda1
 Gampaha,234B Bendiyamulla West
 Gampaha,234C Kidagammulla
 Gampaha,234A Bendiyamulla East
 Gampaha,225B Gampaha Aluthgama East
 Gampaha,227A Keselwathugoda South
 Gampaha,231 Yakkala North
 Gampaha,230C Galthotamulla
 Gampaha,231A Yakkala West
 Gampaha,231B Pepolgahadeniya
 Gampaha,231D Yakkala East
 Gampaha,231C Yakkala South
 Gampaha,232 Henarathgoda
 Gampaha,232D Mudungoda West
 Gampaha,233A Moragoda 2
 Gampaha,235B Ihala Yagoda North
 Gampaha,236A Mahena
 Gampaha,236D Ganemulla South
 Gampaha,236B Ganemulla North
 Gampaha,215B Galahitiyawa East
 Gampaha,215A Galahitiyawa South
 Gampaha,237 Kossinna East
 Gampaha,238 Amunugoda North
 Gampaha,235C Ihala Yagoda South
 Gampaha,232C Mudungoda South
 Gampaha,232B Mudungoda North
 Gampaha,232A Godagedara
 Gampaha,239A Rathupaswala
 Gampaha,239B Galloluwa
 Gampaha,239 Belummahara
 Gampaha,240 Ihala Imbulgoda North
 Gampaha,240A Ihala Imbulgoda South
 Gampaha,243B Pahala Imbulgoda South
 Gampaha,243A Pahala Imbulgoda West
 Gampaha,238A Amunugoda South
 Gampaha,244A Parakandeniya North1
 Gampaha,237A Kossinna West1
 Gampaha,244C Katuwalamulla North
 Gampaha,237B Kossinna West2
 Gampaha,244D Katuwalamulla South
 Gampaha,244B Parakandeniya North2
 Gampaha,244 Parakandeniya South
 Gampaha,243 Pahala Imbulgoda East
 Gampaha,242A Embaraluwa North 2
 Gampaha,242 Embaraluwa North 1
 Gampaha,240B Weliweriya West
 Gampaha,241 Nedungamuwa
 Gampaha,241A Weliweriya East
 Gampaha,241B Weliweriya North
 Gampaha,241C Weliweriya South
 Gampaha,242B Embaraluwa South1
 Gampaha,242C Embaraluwa South 2
 Attanagalla,333/A Eluwapitiya West
 Attanagalla,333 Eluwapitiya
 Attanagalla,329D Hiripitiya West
 Attanagalla,329 Hiripitiya North
 Attanagalla,329C Hiripitiya Central
 Attanagalla,329B Hiripitiya East
 Attanagalla,328/E Thalgasmote West
 Attanagalla,328A Thalgasmote
 Attanagalla,328/D Thalgasmote East
 Attanagalla,347 Udammita
 Attanagalla,347C Humbutiyawa West
 Attanagalla,347A Humbutiyawa
 Attanagalla,346 Parana Veyangoda
 Attanagalla,346A Kongasdeniya
 Attanagalla,343/A Wedagama
 Attanagalla,343 Kalalpitiya
 Attanagalla,343B Nawagamuwa
 Attanagalla,345 Napagoda
 Attanagalla,348A Nittambuwa South
 Attanagalla,348 Nittambuwa North
 Attanagalla,348/F Nittambuwa East
 Attanagalla,347B Kolawatta
 Attanagalla,328/B Pattalagedara East
 Attanagalla,328 Pattalagedara
 Attanagalla,329A Hiripitiya South
 Attanagalla,332 Wataddara
 Attanagalla,332/B Wataddara West
 Attanagalla,331 Magalegoda
 Attanagalla,331A Magalegoda South
 Attanagalla,330A Heendeniya
 Attanagalla,330 Pattigoda
 Attanagalla,332/A Wataddara South
 Attanagalla,329/E Pahala Hiripitiya
 Attanagalla,328C Danvilana
 Attanagalla,327A Dadagamuwa East
 Attanagalla,348/I Pinnagolla
 Attanagalla,348/C Egoda Nittambuwa
 Attanagalla,348H Horagollagama
 Attanagalla,348/B Nambadaluwa West
 Attanagalla,348/G Nambabaluwa East
 Attanagalla,349A Ranpokunagama A Zone
 Attanagalla,355/A Ellakkala West
 Attanagalla,350B Maimbula
 Attanagalla,349F Ranpokunagama E Zone
 Attanagalla,349E Ranpokunagama D Zone
 Attanagalla,349D Ranpokunagama C Zone
 Attanagalla,349C Ranpokunagama B Zone
 Attanagalla,349 Maduwegedara
 Attanagalla,349/B Yatiyana
 Attanagalla,348/D Orchardwatta
 Attanagalla,348/E Malwatta
 Attanagalla,318/C Thihariya North
 Attanagalla,321B Katuwasgoda west
 Attanagalla,321A Katuwasgoda
 Attanagalla,327 Dadagamuwa
 Attanagalla,324A Mudagamuwa
 Attanagalla,325A Bandarabatawala
 Attanagalla,325 Pitiyegedara
 Attanagalla,325B Daraluwa
 Attanagalla,324 Bemmulla
 Attanagalla,326 Kandaoluwawa
 Attanagalla,323 Raniswala
 Attanagalla,323A Sapugasthenna
 Attanagalla,322/B Thiriwanegama South
